F043	DISPLAY_CALL_NO	TITLE	URL_Voyager		NORMALIZED_CALL_NO
	"D210 .K46 1987"	"Rise and fall of the great powers : economic change and military conflict from 1500 to 2000 / by Paul Kennedy. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=15775		"D  210            K 46   1987"
	"D210 .K46 1987"	"Rise and fall of the great powers : economic change and military conflict from 1500 to 2000 / by Paul Kennedy. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=15775		"D  210            K 46   1987"
	"HB238 .G74 1987"	"Economics of imperfect competition : a spatial approach / Melvin L. Greenhut, George Norman, Chao-shun Hung. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=18593		"HB  238            G 74   1987"
"  an-us---"	"JK518 .H36 1987"	"Presidential branch / John Hart. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=21826		"JK  518            H 36   1987"
	"HT608 .R47 1987"	"Research methods for elite studies / edited by George Moyser and Margaret Wagstaffe. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=20553		"HT  608            R 47   1987"
"  ama-----"	"DS39 .N34 1987"	"Nation, state, and integration in the Arab world / project director and series editor, Giacomo Luciani. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=21183		"DS   39            N 34   1987"
"  an-us---"	"JA74.5 .E39 1988"	"Constructing the political spectacle / Murray Edelman. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=21293		"JA   745           E 39   1988"
"  an-us---"	"E807 .F693 1987"	"Franklin D. Roosevelt : the man, the myth, the era, 1882-1945 / edited by Herbert D. Rosenbaum and Elizabeth Bartelme ; prepared under the auspices of Hofstra University. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=21451		"E  807            F 693   1987"
"  an-us---"	"JX1706 .N535 1988"	"Diplomacy and the American democracy / David D. Newsom. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=25719		"JX 1706            N 535   1988"
	"B105.J87 M33 1988"	"Whose justice? Which rationality? / Alasdair MacIntyre. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=25867		"B  105            J 87   M 33   1988"
"  aew-----"	"JS3000.3.A3 C36 1987"	"Central and local government relations : a comparative analysis of West European unitary states / edited by Edward C. Page and Michael J. Goldsmith. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=26379		"JS 30003           A 3   C 36   1987"
"  an-us---"	"KF156 .S7 1986"	"West's legal thesaurus/dictionary / William P. Statsky. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=26576		"KF  156            S 7   1986"
"  aew-----"	"HD4138 .M36 1987"	"Managing public organizations : lessons from contemporary European experience / edited by Jan Kooiman and Kjell A. Eliassen. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=23724		"HD 4138            M 36   1987"
"  an-us---"	"KF9223.Z95 E37 1988"	"Contours of justice : communities and their courts / James Eisenstein, Roy B. Flemming, Peter F. Nardulli. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=28461		"KF 9223            Z 95   E 37   1988"
"  af-ua---"	"DT107.4 .M38 1988"	"Changing past : Egyptian historiography of the Urabi revolt, 1882-1983 / Thomas Mayer. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=32060		"DT  1074           M 38   1988"
"  an-us---ae------an------"	"UA646.5.U5 K37 1988"	"NATO and the United States : the enduring alliance / Lawrence S. Kaplan. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=30050		"UA  6465           U 5   K 37   1988"
"  an-us---"	"HB1 .J63"	"Journal of economic perspectives : a journal of the American Economic Association. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=34316		"HB    1            J 63"
	"HG221 .C45 1940"	"Introduction to monetary theory / Lester V. Chandler. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=44587		"HG  221            C 45   1940"
	"U21.5 .A74"	"Armed forces and society. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=53893		"U   215           A 74"
	"HG61 .I57"	"International financial statistics yearbook. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=56461		"HG   61            I 57"
"  ae-uk---"	"DA560 K43"	"Realities behind diplomacy : background influences on British external policy, 1865-1980 / Paul Kennedy. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=57867		"DA  560            K 43"
	"HB171 .S562 1962"	"Revolution, evolution, and the economic order / Allen M. Sievers. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=61660		"HB  171            S 562   1962"
	"JC228 .S56 1897"	"Elements of politics; by Henry Sidgwick. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=63027		"JC  228            S 56   1897"
"  an-us---"	"JK516 .F87"	"Future of the American presidency / edited by Charles W. Dunn. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=91705		"JK  516            F 87"
"  an-us---"	"JK691 .M65 1982"	"Democracy and the public service / Frederick C. Mosher. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=91814		"JK  691            M 65   1982"
	"HQ518 .B35"	"Treatise on the family / Gary S. Becker. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=93231		"HQ  518            B 35"
	"NA9000 .A4"	"Planning. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=93482		"NA 9000            A 4"
