F043	DISPLAY_CALL_NO	TITLE	URL_Voyager	NORMALIZED_CALL_NO
	"N7433.5 .H445 2013"	"Animation sketchbooks / Laura Heit. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4571083	"N 74335           H 445   2013"
	"LB1576 .R625 2013"	"Literacy activities for classic and contemporary texts 7-14 : the Whoosh book / Gill Robins and Laura-Jane Evans-Jones. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4571090	"LB 1576            R 625   2013"
	"PR5252 .R6 2013"	"Selections and essays / John Ruskin ; edited with an introduction by Frederick William Roe. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4571093	"PR 5252            R 6   2013"
"  ae-uk---"	"PR6037.T617 Z97 2013"	"Bram Stoker, Dracula and the Victorian gothic stage / Catherine Wynne, University of Hull, UK. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4571094	"PR 6037            T 617   Z 97   2013"
"  ae-uk-enae-uk---"	"PR173 .C36 2013"	"Cambridge companion to Old English literature / [edited by] Malcolm Godden and Michael Lapidge. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4571095	"PR  173            C 36   2013"
	"QH325 .R818 2013"	"Creation : how science is reinventing life itself / Adam Rutherford. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4571096	"QH  325            R 818   2013"
"  an-us---an-usp--an-us-mt"	"E467.1.C99 S85 2013"	"Custer's road to disaster : the path to Little Bighorn / Kevin M. Sullivan. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4571097	"E  4671           C 99   S 85   2013"
	"PE1128.A2 M373 2012"	"Exploring ELF : academic English shaped by non-native speakers / Anna Mauranen. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4571098	"PE 1128            A 2   M 373   2012"
	"LB1590.3 .B44 2013"	"Focus factor : 8 essential twenty-first century thinking skills for deeper student learning / James A. Bellanca. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4571100	"LB 15903           B 44   2013"
	"PR9199.3.G5424 M68 2013"	"Mount Pleasant / Don Gillmor. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4571105	"PR 91993           G 5424   M 68   2013"
	"QC176.8.P62 E45 2013"	"Polarons / David Emin. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4571107	"QC  1768           P 62   E 45   2013"
"  ae-fr---"	"B2421 .E94 2013"	"Post-rationalism : psychoanalysis, epistemology and Marxism in post-war France / Tom Eyers. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4571108	"B 2421            E 94   2013"
"  ae-ie---ae-fr---"	"PR6003.E282 Z686 2013"	"Samuel Beckett's library / Dirk Van Hulle, Mark Nixon. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4571109	"PR 6003            E 282   Z 686   2013"
	"PA6661.D2 G75 2013"	"Seneca on society : a guide to De Beneficiis / Miriam T. Griffin. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4571110	"PA 6661            D 2   G 75   2013"
	"LB1028.38 .L37 2014"	"Streamlined ID : a practical guide to instructional design / Miriam B. Larson and Barbara B. Lockee ; with illustrations by Mikaela L. Fuchs. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4571112	"LB 102838          L 37   2014"
"  an-us---"	"PN2226 .M56 2013"	"Acts of conspicuous compassion : performance culture and American charity practices / Sheila C. Moeschen. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4571118	"PN 2226            M 56   2013"
"  ae-uk-en"	"DA152 .H528 2013"	"Anglo-Saxon world / Nicholas J. Higham and Martin J. Ryan. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4571119	"DA  152            H 528   2013"
"  an-us---"	"D769.2 .K54 2013"	"Call to arms : mobilizing America for World War II / Maury Klein. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4571121	"D  7692           K 54   2013"
	"QL757 .D47 2013"	"People, parasites, and plowshares : learning from our body's most terrifying invaders / Dickson D. Despommier ; foreword by William C. Campbell. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4571126	"QL  757            D 47   2013"
	"BH301.T7 Y68 2013"	"Philosophy of tragedy : from Plato to Z¿¿iz¿¿ek / Julian Young, Wake Forest University, North Carolina. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4571127	"BH  301            T 7   Y 68   2013"
	"PT2688.E28 T74 2013"	"Treideln : Frankfurter Poetikvorlesungen / Juli Zeh. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4555381	"PT 2688            E 28   T 74   2013"
	"PT2679.A3355 P37 2013"	"Parlando mit le phung / Said. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4555383	"PT 2679            A 3355   P 37   2013"
	"PT2673.I79 P368 2013"	"Passion Erl : Theaterstu¿¿ck / Felix Mitterer ; mit einem Nachwort von Ekkehard Scho¿¿nwiese. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4555417	"PT 2673            I 79   P 368   2013"
	"PT2668.A5 Z464 2012"	"Peter Handke im Gespra¿¿ch / mit Hubert Patterer und Stefan Winkler. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4555424	"PT 2668            A 5   Z 464   2012"
	"PT2666.R558 Z84 2013"	"Islam und Mystik bei Barbara Frischmuth : Werkanalyse und interreligio¿¿ses Lernen / Selma Polat-Menke. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4555427	"PT 2666            R 558   Z 84   2013"
	"PN452 .R66 2013"	"Rom auf Zeit : Villa Massimo-Stipendiaten im Gespra¿¿ch / Sara Moretti (Hrsg.). "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4555430	"PN  452            R 66   2013"
	"PT2668.E6 Z78 2012"	"""Ochsentour zum Seelenkater"" : Studien zu Eckhard Henscheids Roman Dolce Madonna Bionda / Sunhild Pflug. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4555434	"PT 2668            E 6   Z 78   2012"
	"TL263 .S46 1987"	"How to work with and modify the Turbo hydra-matic 400 transmission / Ron Sessions. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4555460	"TL  263            S 46   1987"
	"PS3607.R36395 B58 2012"	"Blackout / Mira Grant. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4555467	"PS 3607            R 36395   B 58   2012"
	"PN3433.5 .S34 2013"	"Science fiction and speculative fiction : challenging genres / edited by P.L. Thomas, Furman University, Greenville, SC, USA "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4555482	"PN 34335           S 34   2013"
	"N6494.I57 S74 2013"	"Interactive art and embodiment : the implicit body as performance / Nathaniel Stern. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4555490	"N 6494            I 57   S 74   2013"
"  an-us---"	"TT819.U6 S75 2013"	"Stitching in the stacks : librarian-inspired knits / edited by Sarah Barbour. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4555498	"TT  819            U 6   S 75   2013"
	"QH75 .H3624 2013"	"Interpretation : making a difference on purpose / Sam H. Ham. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4555507	"QH   75            H 3624   2013"
	"PS3563.A63629 B75 2013"	"Brief history of yes / Micheline Aharonian Marcom. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4555508	"PS 3563            A 63629   B 75   2013"
	"PR6058.O346 H68 2013"	"House of mourning and other stories / Desmond Hogan. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4555509	"PR 6058            O 346   H 68   2013"
"  an-us---"	"PS228.F35 P85 2013"	"Pulp fiction of the 1920s and 1930s / editor, Gary Hoppenstand, Michigan State University. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4555510	"PS  228            F 35   P 85   2013"
	"PR6115.D6578 A54 2012"	"Angels / Ronan O'Donnell. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4555511	"PR 6115            D 6578   A 54   2012"
	"ND2550 .M39 2013"	"Popular history of graffiti : from the ancient world to the present / Fiona McDonald. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4555512	"ND 2550            M 39   2013"
	"PR9619.4.H656 F67 2013"	"Forget me not / Tom Holloway. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4555526	"PR 96194           H 656   F 67   2013"
	"PR6068.I292 F43 2013"	"Feathers in the snow / Philip Ridley. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4555533	"PR 6068            I 292   F 43   2013"
"  an-us-ny"	"NA737.G49 R39 2013"	"Fire Island modernist : Horace Gifford and the architecture of seduction / Christopher Bascom Rawlins ; Foreword by Alastair Gordon. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4555534	"NA  737            G 49   R 39   2013"
		"[Suppressed] Issues for debate in American public policy : selections from CQ Researcher. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4555536	
"  aa-ir---"	"DS318.825 .J34 2013"	"Democracy in Iran / Ramin Jahanbegloo, Associated Professor, University of Toronto. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4555562	"DS  318825         J 34   2013"
	"B2528.G73 .W58 2013"	"Wittgenstein and Plato : connections, comparisons and contrasts / edited by Luigi Perissinotto and Begon¿¿a Ramo¿¿n Camara. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4555563	"B 2528            G 73   W 58   2013"
"  aa-cc---af------"	"DT38.9.C5 M67 2013"	"Morality of China in Africa : the Middle Kingdom and the Dark Continent / edited by Stephen Chan. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4555566	"DT   389           C 5   M 67   2013"
"  as-bo---"	"HN273.5 .C73 2013"	"Bolivia : processes of change / John Crabtree and Ann Chaplin. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4555571	"HN  2735           C 73   2013"
	"HF5415.32 .C43 2013"	"Challenges and opportunities for change in food marketing to children and youth : Workshop summary / Heather Breiner, Lynn Parker, and Steve Olson, Rapporteurs ; Standing Committee on Childhood Obesity Prevention, Food and Nutrition Board, Institute of Me"	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4555576	"HF 541532          C 43   2013"
	"GC117.C37 R48 2013"	"Review of the Federal Ocean Acidification Research and Monitoring Plan / Committee on the Review of the National Ocean Acidification Reserach and Monitoring Plan ; Ocean Studies Board ; Division on Earth and Life Studies ; National Research Council of the"	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4555582	"GC  117            C 37   R 48   2013"
	"BS579.R6 S44 2013"	"Jesse's lineage : the legendary lives of David, Jesus, and Jesse James / Robert Paul Seesengood and Jennifer L. Koosed. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4555592	"BS  579            R 6   S 44   2013"
"  ae-gr---"	"DF951.T45 R87 2013"	"Literature and culture in Late Byzantine Thessalonica / Eugenia Russell. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4555597	"DF  951            T 45   R 87   2013"
	"NK2115 .G75 2013"	"Interior design reference + specification book / Chris Grimley, Mimi Love. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4555600	"NK 2115            G 75   2013"
	"TT507 .C317 2013"	"Fashion design reference + specification book : everything fashion designers need to know every day / Jay Calderin. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4555601	"TT  507            C 317   2013"
	"TS840 .W65"	"Wood products. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4555633	"TS  840            W 65"
	"PS3619.I5725 D34 2013"	"Dead lawyers tell no tales / Randy Singer. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4555641	"PS 3619            I 5725   D 34   2013"
	"PS3616.E84264 O97 2013"	"Outcast / Jolina Petersheim. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4555642	"PS 3616            E 84264   O 97   2013"
	"QA176 .S56 1996"	"Representations of finite and compact groups / Barry Simon. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4555644	"QA  176            S 56   1996"
	"Z286.F3 K46 2012"	"Anthem series : a guide to the science fiction, fantasy, horror and weird specialty publishers of the Golden Age / by Earl Terry Kemp. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4556698	"Z  286            F 3   K 46   2012"
	"NA6301 .D48 2012"	"Design for aviation / [introduction by Allison Arieff]. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4556742	"NA 6301            D 48   2012"
	"TR655 .B536 2013"	"World of details / Viktoria Binschtok ; herausgeber, Matthias Harder. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4556746	"TR  655            B 536   2013"
"  an-us---"	"Oversize TR675 .B69 2013"	"Projects / [Brian Bowen Smith]. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4556749	"TR  675            B 69   2013"
	"NA2542.36 O63 2013"	"100 contemporary green buildings = 100 Zeitgeno¿¿ssische gru¿¿ne bauten = 100 ba¿¿timents verts contemporains / Philip Jodidio. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4556755	"NA 254236          O 63   2013"
"  an-us---"	"Oversize N6537.T23 A4 2013"	"Tabboo! : the art of Stephen Tashjian / [edited by Lia Gangitano]. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4556761	"N 6537            T 23   A 4   2013"
	"PS3565.W57 A6 2013"	"Out of Ur : new & selected poems, 1961-2012 / Rochelle Owens. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4556763	"PS 3565            W 57   A 6   2013"
"  ae-fr---"	"Oversize N2030 .O24 2012"	"Au Louvre : Arcadia revisited / Annaelies Oberdanner ; Marta Smolin¿¿ska, Einfu¿¿hrung-Introduction ; Annaelies Oberdanner, 81 Fotografien - Photographs ; Suzie Jungeun Lee, Sidestep. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4557726	"N 2030            O 24   2012"
	"N7433.4.D56 D66 2013"	"Donkey in the sea before us : (Pinocchio and poems) / Jim Dine. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4557727	"N 74334           D 56   D 66   2013"
	"PH356.H46 T3913 2013"	"Warmth of the taxidermied animal / Tytti Heikkinen ; translated and with an introduction by Niina Pollari. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4557729	"PH  356            H 46   T 3913   2013"
	"N6797.P37 B53 2013"	"Cornelia Parker / Iwona Blazwick ; foreword by Yoko Ono ; introduction by Bruce W. Ferguson ; commentaries by Corneila Parker. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4557734	"N 6797            P 37   B 53   2013"
	"PN1995.9.S66955 J66 2013"	"Torture porn : popular horror after Saw / Steve Jones, Northumbria University, UK. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4557738	"PN 19959           S 66955   J 66   2013"
	"PN1995.9.S66955 J66 2013"	"Torture porn : popular horror after Saw / Steve Jones, Northumbria University, UK. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4557738	"PN 19959           S 66955   J 66   2013"
	"PN2039 .M28 2013"	"Immersive theatres : intimacy and immediacy in contemporary performance / Josephine Machon. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4571052	"PN 2039            M 28   2013"
	"PE1442 .G63 2013"	"Student phrase book : vocabulary for writing at university / Jeanne Godfrey. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4571056	"PE 1442            G 63   2013"
	"ML3534 .R3858 2013"	"Pop-rock music : aesthetic cosmopolitanism in late modernity / Motti Regev. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4571058	"ML 3534            R 3858   2013"
	"MT85.G175 C6 1998"	"Conducting choral music / Robert L. Garretson. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4571060	"MT   85            G 175   C 6   1998"
	"P95.8 .V65 2013"	"Media in transitional democracies / Katrin Voltmer. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4571062	"P   958           V 65   2013"
	"N7345.5.A9 G53 2013"	"'Avant-garde' art groups in China, 1979-1989 : the Stars - the Northern Art Group - the Pond Association - Xiamen Dada : a critical polylogue / Paul Gladston. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4571065	"N 73455           A 9   G 53   2013"
	"PN1995.9.C66 F74 2013"	"Versions of Hollywood crime cinema : studies in Ford, Wilder, Coppola, Scorsese, and others / Carl Freedman. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4571068	"PN 19959           C 66   F 74   2013"
"  ae-gx---"	"ML390 .N45 1983"	"New Grove Bach family / Christoph Wolff ... [et al.]. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4571072	"ML  390            N 45   1983"
	"MT930 .R65 1983"	"Choral music education / Paul F. Roe. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4571074	"MT  930            R 65   1983"
	"MT1 .P5 1980"	"Guide to research in music education / Roger P. Phelps. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4571077	"MT    1            P 5   1980"
	"QA76.9.U83 B458 2011"	"Display and interface design : subtle science, exact art / Kevin B. Bennett, John M. Flach. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4571078	"QA   769           U 83   B 458   2011"
"  ae-uk-en"	"DA690.B844 P37 2013"	"Anglo-Saxon church of All Saints, Brixworth, Northamptonshire : survey, excavation and analysis, 1972-2010 / by David Parsons and D.S. Sutherland, with Rosemary Cramp, Richard Gem, P.S. Barnwell and David Hall ; specialist reports by Ian Bailiff, Andrew M"	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4571082	"DA  690            B 844   P 37   2013"
"  an-us---"	"E181 .R69 2013"	"Routledge handbook of American military and diplomatic history : 1865 to the present / edited by Antonio S. Thompson and Christos Frentzos. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4571128	"E  181            R 69   2013"
