Title	Continent	ConName	Country	NationName	State	StateName	Lat	Long	Subject	SubSubject	URL
"Presidential branch / John Hart. "	n	North America	us	United States	--		38	-97	J	K	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=21826
"Nation, state, and integration in the Arab world / project director and series editor, Giacomo Luciani. "	m	North America	--	United States	--		38	-97	D	S	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=21183
"Constructing the political spectacle / Murray Edelman. "	n	North America	us	United States	--		38	-97	J	A	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=21293
"Franklin D. Roosevelt : the man, the myth, the era, 1882-1945 / edited by Herbert D. Rosenbaum and Elizabeth Bartelme ; prepared under the auspices of Hofstra University. "	n	North America	us	United States	--		38	-97	E	8	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=21451
"Diplomacy and the American democracy / David D. Newsom. "	n	North America	us	United States	--		38	-97	J	X	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=25719
"Central and local government relations : a comparative analysis of West European unitary states / edited by Edward C. Page and Michael J. Goldsmith. "	e	Europe	--		--		48.7333	18.9333	J	S	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=26379
"West's legal thesaurus/dictionary / William P. Statsky. "	n	North America	us	United States	--		38	-97	K	F	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=26576
"Managing public organizations : lessons from contemporary European experience / edited by Jan Kooiman and Kjell A. Eliassen. "	e	Europe	--		--		48.7333	18.9333	H	D	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=23724
"Contours of justice : communities and their courts / James Eisenstein, Roy B. Flemming, Peter F. Nardulli. "	n	North America	us	United States	--		38	-97	K	F	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=28461
"Changing past : Egyptian historiography of the Urabi revolt, 1882-1983 / Thomas Mayer. "	f	Africa	ua	Egypt	--		27	30	D	T	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=32060
"NATO and the United States : the enduring alliance / Lawrence S. Kaplan. "	n	North America	us	United States	--		38	-97	U	A	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=30050
"Journal of economic perspectives : a journal of the American Economic Association. "	n	North America	us	United States	--		38	-97	H	B	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=34316
"Realities behind diplomacy : background influences on British external policy, 1865-1980 / Paul Kennedy. "	e	Europe	uk	Great Britain	--		54	-2	D	A	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=57867
"Future of the American presidency / edited by Charles W. Dunn. "	n	North America	us	United States	--		38	-97	J	K	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=91705
"Democracy and the public service / Frederick C. Mosher. "	n	North America	us	United States	--		38	-97	J	K	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=91814
